config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsZ01R00_02	50.0000	50.0000	0.111254	0.209895	0.4300	0.4300	3.43000	2.35337e-05	100000.000	1.07663
foilsZ01R00_01	50.0000	50.0000	0.050000	0.258157	0.4300	0.4300	3.41000	2.36236e-05	100000.000	1.04764
foilsZ01R00_00	50.0000	50.0000	0.139599	0.257323	0.4300	0.4300	3.43000	2.30965e-05	100000.000	1.12035
foilsZ01R01_01	50.0000	250.0000	0.459247	0.885756	0.4300	0.0860	1.69000	5.80501e-06	100000.000	1.10950
foilsZ01R01_02	50.0000	250.0000	0.500619	1.000000	0.4300	0.0860	1.57000	5.48520e-06	100000.000	1.02148
foilsZ01R01_00	50.0000	250.0000	0.430249	1.000000	0.4300	0.0860	1.58000	5.59838e-06	100000.000	1.02016
foilsZ01R02_01	250.0000	50.0000	0.050000	1.000000	0.0860	0.4300	3.09000	1.98973e-05	100000.000	1.10027
foilsZ01R02_02	250.0000	80.7888	0.101509	1.000000	0.0860	0.2661	2.75000	1.60923e-05	100000.000	1.14077
foilsZ01R02_00	250.0000	50.0000	0.202171	1.000000	0.0860	0.4300	2.53000	1.21327e-05	100000.000	1.31673
foilsZ01R03_01	202.6545	50.0000	0.400926	0.509678	0.1061	0.4300	2.12000	8.36864e-06	100000.000	1.28314
foilsZ01R03_00	175.2063	50.0000	0.374804	0.474475	0.1227	0.4300	2.37000	9.61182e-06	100000.000	1.40882
foilsZ01R03_02	192.1121	50.0000	0.365754	0.420153	0.1119	0.4300	2.30000	9.03755e-06	100000.000	1.39624
foilsZ01R04_01	50.0000	205.0086	0.476049	0.050000	0.4300	0.1049	3.12000	1.92303e-05	100000.000	1.19697
foilsZ01R04_00	50.0000	250.0000	0.516143	0.050000	0.4300	0.0860	3.02000	1.90176e-05	100000.000	1.11824
foilsZ01R04_02	50.0000	250.0000	0.450831	0.050000	0.4300	0.0860	3.10000	1.89844e-05	100000.000	1.20156
foilsZ02R00_00	250.0000	126.3721	1.000000	0.996211	0.0860	0.1701	0.77900	1.29095e-06	100000.000	0.64991
foilsZ02R00_02	216.0181	204.7470	0.300454	0.364283	0.0995	0.1050	2.18000	5.00990e-06	100000.000	1.67901
foilsZ02R00_01	250.0000	250.0000	0.413663	0.635590	0.0860	0.0860	1.43000	1.99394e-06	100000.000	1.23061
foilsZ02R01_02	250.0000	250.0000	0.135072	0.260605	0.0860	0.0860	2.59000	8.25370e-06	100000.000	1.76463
foilsZ02R01_00	250.0000	250.0000	0.434755	0.458128	0.0860	0.0860	1.54000	2.05785e-06	100000.000	1.33421
foilsZ02R01_01	250.0000	250.0000	0.686948	0.601250	0.0860	0.0860	1.03000	1.25890e-06	100000.000	0.90411
foilsZ02R02_00	241.4480	250.0000	0.160451	0.228002	0.0890	0.0860	2.58000	7.74570e-06	100000.000	1.80543
foilsZ02R02_01	250.0000	250.0000	0.286228	0.432546	0.0860	0.0860	1.90000	4.00305e-06	100000.000	1.49969
foilsZ02R02_02	148.1184	146.2521	0.142432	0.231635	0.1452	0.1470	3.40000	1.38298e-05	100000.000	2.01702
foilsZ02R03_00	224.7493	250.0000	0.484088	0.202913	0.0957	0.0860	1.71000	4.35769e-06	100000.000	1.27423
foilsZ02R03_01	197.6225	224.6898	0.341927	0.131892	0.1088	0.0957	2.30000	7.41337e-06	100000.000	1.55866
foilsZ02R03_02	250.0000	250.0000	0.594813	0.441799	0.0860	0.0860	1.25000	2.03229e-06	100000.000	1.04677
foilsZ02R04_00	250.0000	197.3230	0.366727	0.646665	0.0860	0.1090	1.70000	3.19218e-06	100000.000	1.38078
foilsZ02R04_02	250.0000	250.0000	0.496795	0.714747	0.0860	0.0860	1.22000	1.48474e-06	100000.000	1.07153
foilsZ02R04_01	250.0000	50.0000	1.000000	1.000000	0.0860	0.4300	0.85400	1.45892e-06	100000.000	0.70811
foilsZ02R05_00	250.0000	250.0000	0.886720	0.926979	0.0860	0.0860	0.68800	1.14906e-06	100000.000	0.57309
foilsZ02R05_01	94.9250	141.8288	0.050000	0.050000	0.2265	0.1516	3.75000	2.16325e-05	100000.000	1.58675
foilsZ02R05_02	192.8987	215.6011	0.256715	0.318003	0.1115	0.0997	2.40000	7.13967e-06	100000.000	1.68603
foilsZ02R06_00	250.0000	211.4235	0.374063	0.497460	0.0860	0.1017	1.75000	3.40845e-06	100000.000	1.40916
foilsZ02R06_01	176.0167	152.2957	0.199953	0.297767	0.1221	0.1412	2.96000	1.06599e-05	100000.000	1.89401
foilsZ02R06_02	218.9668	179.4318	0.345280	0.446175	0.0982	0.1198	2.06000	5.17690e-06	100000.000	1.54231
foilsZ02R07_00	164.2944	232.4453	0.142498	0.317176	0.1309	0.0925	2.70000	9.26672e-06	100000.000	1.77333
foilsZ02R07_01	250.0000	206.7993	0.304193	0.416512	0.0860	0.1040	2.01000	4.40968e-06	100000.000	1.56903
foilsZ02R07_02	136.8624	115.7592	0.050000	0.119069	0.1571	0.1857	3.87000	2.05018e-05	100000.000	1.81982
