config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	flash_edep	alpha	obj
foilsflash02R00_07	250.0000	125.4966	0.817668	0.408304	0.2161	0.0000	1.50000	1.45855e-06	100000.000	-281.37746
foilsflash02R00_09	169.5304	62.4439	0.886220	0.572201	0.4724	0.0000	2.29000	1.41904e-06	100000.000	-275.52491
foilsflash02R00_05	250.0000	87.8128	0.842394	0.227728	0.7404	0.0000	3.16000	1.15297e-06	100000.000	-290.44759
foilsflash02R00_01	250.0000	50.0000	0.817569	0.589191	0.7292	0.0688	2.74000	1.27040e-06	100000.000	-268.37499
foilsflash02R00_08	250.0000	115.9664	1.000000	0.463647	0.4565	0.2676	2.65000	1.12165e-06	100000.000	-306.73158
foilsflash02R01_00	250.0000	50.0000	0.760422	0.304995	0.6056	0.1050	2.88000	1.04799e-06	100000.000	-268.35683
foilsflash02R01_01	250.0000	53.0920	0.960497	0.393579	0.6013	0.0000	2.84000	1.24576e-06	100000.000	-287.01148
foilsflash02R01_02	250.0000	78.8811	0.631278	0.487156	0.6102	0.0000	2.81000	1.44272e-06	100000.000	-286.27909
foilsflash02R01_03	250.0000	50.0000	0.971190	0.147278	0.6613	0.2634	2.88000	9.20755e-07	100000.000	-305.07233
foilsflash02R01_06	250.0000	50.0000	0.701078	0.503209	0.4983	0.2334	2.77000	1.24330e-06	100000.000	-292.80873
foilsflash02R01_07	250.0000	50.0000	0.505575	0.142519	0.6847	0.1451	2.91000	9.45105e-07	100000.000	-301.27343
foilsflash02R01_05	250.0000	107.2656	0.911411	0.499268	0.7248	0.0000	2.86000	1.42697e-06	100000.000	-278.47426
foilsflash02R01_08	206.8224	74.6999	0.686873	0.279885	0.6402	0.0000	3.07000	1.19754e-06	100000.000	-285.83966
foilsflash02R01_09	216.7821	73.0743	1.000000	0.428286	0.8414	0.0000	3.02000	1.40309e-06	100000.000	-292.88402
foilsflash02R01_04	250.0000	50.0000	0.784414	0.485524	0.4332	0.0000	2.66000	1.23394e-06	100000.000	-273.86508
foilsflash03R00_01	249.5429	55.4708	0.866382	0.461773	0.4212	0.0649	2.61000	1.30664e-06	100000.000	-284.06796
foilsflash03R00_04	215.8804	114.2138	1.000000	0.131477	0.7171	0.0759	3.28000	9.81375e-07	100000.000	-298.81350
foilsflash03R00_03	226.1571	84.7281	0.770105	0.170550	0.7836	0.0598	3.22000	1.05813e-06	100000.000	-294.21583
foilsflash03R00_07	250.0000	62.3063	0.686453	0.362229	0.4403	0.0606	2.80000	1.25228e-06	100000.000	-285.29389
foilsflash03R00_00	225.6634	89.6755	0.830311	0.222481	0.6970	0.0641	3.18000	1.07870e-06	100000.000	-278.61923
foilsflash03R00_09	250.0000	79.1941	0.966222	0.328995	0.4679	0.0629	2.89000	1.24230e-06	100000.000	-281.01678
foilsflash03R00_06	238.4364	96.3014	0.779025	0.163661	0.6089	0.0628	3.19000	1.03428e-06	100000.000	-292.52220
foilsflash03R00_02	233.8069	89.3531	0.878326	0.325982	0.5618	0.0646	3.04000	1.23250e-06	100000.000	-280.83421
foilsflash03R00_08	221.9788	123.9558	0.620383	0.149013	0.7042	0.0628	3.30000	1.02982e-06	100000.000	-301.44073
foilsflash03R00_05	250.0000	89.6285	0.849340	0.507695	0.4621	0.0638	2.69000	1.44199e-06	100000.000	-280.86951
foilsflash03R01_01	244.2356	179.4135	0.927039	0.010000	0.6900	0.0000	2.77000	7.13009e-07	100000.000	-302.48730
foilsflash03R01_02	53.5760	229.4755	0.659227	0.656480	0.5466	0.5747	1.81000	7.83128e-07	100000.000	-278.90385
foilsflash03R01_00	80.5380	219.2075	0.668400	0.628051	0.9500	0.5710	1.94000	6.61498e-07	100000.000	-293.39822
foilsflash03R01_04	222.6755	140.2884	0.251282	0.010000	0.7196	0.0000	2.86000	6.92747e-07	100000.000	-297.92326
foilsflash03R01_05	216.5833	84.2976	0.801781	0.547623	0.7866	0.0000	2.87000	1.51353e-06	100000.000	-287.27915
foilsflash03R01_09	106.7437	211.2518	0.674571	0.565827	0.7018	0.5822	2.06000	7.28441e-07	100000.000	-311.93420
foilsflash03R01_07	50.0000	241.5715	0.643507	0.772833	0.9500	0.5588	1.68000	6.90207e-07	100000.000	-303.32659
foilsflash03R01_03	215.3971	124.9969	0.814109	0.049699	0.7083	0.0000	3.13000	8.03424e-07	100000.000	-292.53766
foilsflash03R01_06	227.3610	141.1902	0.010000	0.010000	0.7193	0.0000	3.24000	6.42913e-07	100000.000	-273.20646
foilsflash03R01_08	241.4933	122.4517	0.779038	0.675376	0.8751	0.0000	2.75000	1.62589e-06	100000.000	-282.82880
foilsflash03R02_04	250.0000	154.6941	0.010000	0.137532	0.6547	0.0000	3.62000	9.94410e-07	100000.000	-291.97848
foilsflash03R02_09	208.5205	113.7338	0.010000	0.137377	0.8969	0.0500	3.77000	9.92864e-07	100000.000	-295.47392
foilsflash03R02_06	203.9390	91.1733	0.010000	0.240583	0.7813	0.2067	3.62000	1.05286e-06	100000.000	-304.28018
foilsflash03R02_02	185.0819	100.3471	0.010000	0.054518	0.6859	0.0000	3.55000	8.67166e-07	100000.000	-312.21775
foilsflash03R02_00	250.0000	120.4375	0.010000	0.145219	0.7603	0.1598	3.73000	8.93422e-07	100000.000	-293.73435
foilsflash03R02_01	223.7398	119.9101	0.708949	0.201670	0.7575	0.2176	3.26000	9.13456e-07	100000.000	-295.81418
foilsflash03R02_05	230.6642	131.7102	0.010000	0.010000	0.6596	0.2795	3.21000	6.71269e-07	100000.000	-298.24063
foilsflash03R02_08	250.0000	126.4872	0.617865	0.154749	0.8045	0.5096	3.11000	6.43837e-07	100000.000	-277.48024
foilsflash03R02_07	250.0000	118.6280	0.010000	0.010000	0.5357	0.0000	3.19000	6.64645e-07	100000.000	-283.62801
foilsflash03R02_03	250.0000	131.3999	0.010000	0.059828	0.8902	0.0000	3.66000	8.11104e-07	100000.000	-290.61993
foilsflashHOLED00	75.0000	75.0000	0.052800	0.052800	0.2867	0.2867	3.12000	6.69644e-07	100000.000	-300.54491
foilsflashNOHOLE00	75.0000	75.0000	0.052800	0.052800	0.0000	0.0000	3.30000	8.32745e-07	100000.000	-281.58968
foilsflashNOHOLEhi	75.0000	75.0000	0.052800	0.052800	0.0000	0.0000	3.30000	8.21457e-07	100000.000	-277.61127
foilsflashHOLEDhi	75.0000	75.0000	0.052800	0.052800	0.2867	0.2867	3.11000	6.44531e-07	100000.000	-288.88562
foilsflash04R00_00	242.3999	144.2445	0.010000	0.102859	0.9483	0.6182	3.37000	6.43215e-07	100000.000	3.30568
foilsflash04R00_03	225.1010	163.6994	0.921698	0.010000	0.8370	0.5457	2.83000	6.53016e-07	100000.000	2.76470
foilsflash04R00_02	60.0856	70.8201	0.010000	0.010000	0.0000	0.4786	3.21000	6.70592e-07	100000.000	3.14294
foilsflash04R00_06	250.0000	153.8920	0.010000	0.176648	0.9411	0.3801	3.43000	6.94974e-07	100000.000	3.36050
