config	r0	r1	r2	t0	t1	t2	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt6d01R00_00	3.8616	2.6153	3.1933	6.7968	6.6299	3.8612	2.268132e-03	4.024917e+02	2.150438e-09	25	2.268132e-03
pt6d01R00_03	4.3893	2.8793	3.3386	6.9835	7.0000	3.3357	2.254348e-03	4.257045e+02	1.935017e-09	25	2.254348e-03
pt6d01R00_01	3.8713	2.1535	3.4069	5.8869	6.7023	5.4500	2.153333e-03	3.885990e+02	2.568873e-09	24	2.153333e-03
pt6d01R00_04	3.3774	2.6214	3.2834	7.0000	6.5741	4.6580	2.166667e-03	4.028970e+02	2.003929e-09	24	2.166667e-03
pt6d01R00_08	3.6828	2.4671	3.1764	6.4691	6.9522	3.0000	2.202198e-03	3.931478e+02	2.316170e-09	25	2.202198e-03
pt6d01R00_02	3.5724	2.9880	3.3335	6.9366	6.6447	3.0000	2.077778e-03	4.117525e+02	1.735504e-09	25	2.077778e-03
pt6d01R00_07	4.2139	2.9534	3.2659	7.0000	6.4139	4.5116	2.108889e-03	4.204554e+02	1.837889e-09	27	2.108889e-03
pt6d01R00_09	3.8339	2.3973	3.0433	7.0000	5.5821	5.4063	2.160870e-03	3.798233e+02	2.408328e-09	24	2.160870e-03
pt6d01R00_06	4.0536	2.6405	3.5432	6.5124	5.6861	3.7653	2.113333e-03	3.818438e+02	2.065109e-09	23	2.113333e-03
pt6d01R00_05	3.8441	2.0554	3.3932	7.0000	6.8114	6.5836	2.171111e-03	3.981621e+02	2.662551e-09	23	2.171111e-03
pt6d02R00_01	4.5000	2.3953	2.5206	7.0000	7.0000	3.0591	2.197778e-03	3.998027e+02	2.998250e-09	26	2.197778e-03
pt6d02R00_00	2.0000	4.5000	2.0000	3.0000	3.0000	7.0000	1.745652e-03	3.059688e+02	3.278572e-09	34	1.745652e-03
pt6d02R00_04	3.5606	2.0000	2.8565	5.4768	7.0000	3.3885	2.153333e-03	3.642779e+02	3.194885e-09	23	2.153333e-03
pt6d02R00_03	3.6805	2.0000	2.0828	7.0000	5.0202	7.0000	2.076923e-03	3.470395e+02	3.891092e-09	28	2.076923e-03
pt6d02R00_02	4.5000	2.0000	2.9378	4.6310	7.0000	3.0000	2.045652e-03	3.652694e+02	3.445241e-09	23	2.045652e-03
pt6d02R00_05	3.4741	2.0000	3.9446	5.2795	7.0000	6.2453	2.091111e-03	3.899377e+02	2.529179e-09	20	2.091111e-03
pt6d02R00_06	4.5000	4.3798	3.4569	7.0000	7.0000	4.5497	2.320000e-03	4.879960e+02	1.300979e-09	33	2.320000e-03
pt6d02R00_07	3.2005	2.0000	4.5000	6.4178	7.0000	3.8626	2.160870e-03	3.802709e+02	2.701965e-09	18	2.160870e-03
pt6d02R00_08	4.2926	2.1203	2.4541	6.7439	7.0000	3.8617	2.149451e-03	3.851898e+02	3.467387e-09	26	2.149451e-03
pt6d02R00_09	2.6763	2.0000	2.0000	7.0000	3.0000	7.0000	1.795745e-03	2.856377e+02	3.710191e-09	31	1.795745e-03
pt6d02R01_02	4.5000	2.4112	3.9316	7.0000	7.0000	3.0000	2.144444e-03	4.082096e+02	2.296616e-09	21	2.144444e-03
pt6d02R01_01	4.0156	2.3451	2.1348	7.0000	7.0000	5.4849	2.182222e-03	3.971626e+02	3.405098e-09	30	2.182222e-03
pt6d02R01_04	2.7318	2.1487	3.3530	7.0000	7.0000	5.0483	2.143478e-03	3.847387e+02	2.426462e-09	21	2.143478e-03
pt6d02R01_00	3.6737	2.3637	2.5020	7.0000	7.0000	4.3640	2.291304e-03	3.935390e+02	2.828919e-09	28	2.291304e-03
pt6d02R01_03	3.6485	2.0725	4.2235	6.6245	7.0000	4.9758	2.002222e-03	3.958413e+02	2.515176e-09	20	2.002222e-03
pt6d02R01_05	4.5000	3.2160	2.6441	7.0000	7.0000	3.0000	2.260000e-03	4.347460e+02	2.136558e-09	31	2.260000e-03
pt6d02R01_06	4.5000	2.5886	3.0254	5.5784	7.0000	4.4956	2.239560e-03	4.084634e+02	2.328068e-09	25	2.239560e-03
pt6d02R01_07	4.5000	2.1148	2.2900	7.0000	6.0445	3.0000	2.129670e-03	3.671128e+02	3.804420e-09	26	2.129670e-03
pt6d02R01_08	4.5000	2.1088	2.9742	7.0000	5.7645	7.0000	2.189011e-03	3.865047e+02	2.963202e-09	25	2.189011e-03
pt6d02R01_09	4.5000	2.4320	4.0276	5.8874	7.0000	4.7128	2.239130e-03	4.129132e+02	2.118562e-09	22	2.239130e-03
pt6d03R00_00	4.5000	2.6620	4.2981	4.7656	7.0000	5.3225	2.202222e-03	4.215270e+02	1.772704e-09	21	2.202222e-03
