config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	sob	flash_edep	alpha	obj
foilspf03R00_04	120.0000	120.0000	120.0000	0.010000	0.110969	0.010000	0.5886	0.7790	0.6997	2.01000	1.17434e-07	100000.000	1.99826
foilspf03R00_03	50.0000	120.0000	120.0000	0.127007	0.076990	0.150000	0.5836	0.4853	0.0571	4.35000	1.18498e-06	100000.000	4.23150
foilspf03R00_02	107.1987	120.0000	119.6823	0.040705	0.089576	0.010000	0.3232	0.3129	0.8101	3.85000	5.31329e-07	100000.000	3.79687
foilspf03R00_05	120.0000	120.0000	120.0000	0.010000	0.070512	0.010000	0.9500	0.8963	0.6717	0.96900	8.72213e-08	100000.000	0.96028
foilspf03R01_00	50.0000	120.0000	120.0000	0.102208	0.085254	0.010000	0.5483	0.4930	0.2938	3.71000	4.55969e-07	100000.000	3.66440
foilspf03R06_00	120.0000	120.0000	50.0000	0.010000	0.081009	0.150000	0.0024	0.4677	0.9500	3.70000	4.30648e-07	100000.000	3.65694
foilspf03R08_00	50.0000	120.0000	120.0000	0.010000	0.150000	0.010000	0.4043	0.9500	0.9500	1.63000	1.26345e-07	100000.000	1.61737
foilspf03R05_00	120.0000	120.0000	120.0000	0.010000	0.010000	0.150000	0.0000	0.0000	0.9401	3.37000	4.81697e-07	100000.000	3.32183
foilspf04R00_00	120.0000	120.0000	120.0000	0.082218	0.075949	0.150000	0.0000	0.1622	0.5419	4.11000	9.73590e-07	100000.000	4.01264
foilspf04R00_03	120.0000	120.0000	120.0000	0.029199	0.077555	0.150000	0.5449	0.0740	0.2896	4.49000	1.33832e-06	100000.000	4.35617
foilspf04R00_05	120.0000	120.0000	120.0000	0.088394	0.150000	0.010000	0.0000	0.5503	0.4868	3.31000	5.54831e-07	100000.000	3.25452
foilspf04R01_00	50.0000	120.0000	120.0000	0.049521	0.049794	0.150000	0.9500	0.0000	0.0000	4.75000	1.45837e-06	100000.000	4.60416
foilspf04R04_00	50.0000	120.0000	50.0000	0.010000	0.150000	0.010000	0.9498	0.6269	0.9500	2.93000	2.63126e-07	100000.000	2.90369
foilspf04R03_00	50.0000	119.9996	50.0000	0.089269	0.054417	0.150000	0.0446	0.2906	0.9500	4.07000	6.76559e-07	100000.000	4.00234
foilspf04R06_00	50.0000	120.0000	50.0000	0.010000	0.150000	0.010000	0.9500	0.8550	0.9500	1.57000	1.08636e-07	100000.000	1.55914
foilspf2k01R00_06	100.2439	120.0000	85.4553	0.010000	0.105737	0.010000	0.7532	0.8271	0.8121	1.68000	1.24561e-07	100000.000	1.66754
foilspf2k01R00_00	50.0000	93.7228	120.0000	0.010000	0.010000	0.010000	0.4494	0.4682	0.9500	0.97100	1.63961e-07	100000.000	0.95460
foilspf2k01R00_02	50.0000	120.0000	50.0000	0.150000	0.010000	0.010000	0.9500	0.1766	0.0000	2.72000	4.60758e-07	100000.000	2.67392
foilspf2k01R00_05	50.0000	120.0000	120.0000	0.010000	0.010000	0.010000	0.5155	0.4462	0.9500	1.09000	1.23177e-07	100000.000	1.07768
foilspf2k01R00_04	120.0000	83.9314	50.0000	0.010000	0.091620	0.010000	0.2870	0.8295	0.9500	2.26000	1.84254e-07	100000.000	2.24157
foilspf2k01R00_03	50.0000	89.8506	120.0000	0.010000	0.010000	0.109799	0.9500	0.2703	0.9500	2.44000	2.93320e-07	100000.000	2.41067
foilspf2k01R00_07	72.0455	79.3087	67.6053	0.010000	0.118814	0.010000	0.9500	0.7740	0.9500	2.18000	2.28139e-07	100000.000	2.15719
foilspf2k01R00_09	99.9319	111.0629	120.0000	0.150000	0.010000	0.010000	0.9500	0.1726	0.8371	2.76000	3.54681e-07	100000.000	2.72453
foilspf2k01R00_01	81.8595	120.0000	50.0000	0.010000	0.046685	0.010000	0.0095	0.6774	0.9500	2.21000	1.90092e-07	100000.000	2.19099
foilspf2k01R00_08	50.0000	120.0000	116.9090	0.027801	0.015373	0.049944	0.7206	0.3063	0.7021	2.60000	2.90484e-07	100000.000	2.57095
foilspf2k01R02_00	120.0000	63.0568	120.0000	0.010000	0.069188	0.010000	0.9500	0.8865	0.8723	0.95800	1.31269e-07	100000.000	0.94487
foilspf2k01R03_01	65.9412	66.8522	66.0017	0.150000	0.101400	0.010000	0.9500	0.0973	0.0000	3.61000	1.12596e-06	100000.000	3.49740
foilspf2k01R01_00	50.0000	50.0000	50.0000	0.150000	0.010000	0.150000	0.9500	0.0000	0.0000	2.40000	1.00426e-06	100000.000	2.29957
foilspf2k01R03_00	50.0000	50.0000	50.0000	0.010000	0.098652	0.150000	0.9500	0.2252	0.9500	2.86000	9.28591e-07	100000.000	2.76714
foilspf2k01R04_00	50.0000	120.0000	120.0000	0.010000	0.097123	0.013500	0.0000	0.6314	0.9500	3.00000	2.85202e-07	100000.000	2.97148
foilspf2k01R05_00	50.0000	120.0000	120.0000	0.150000	0.086706	0.150000	0.9500	0.1608	0.9500	4.09000	7.95186e-07	100000.000	4.01048
foilspf2k01R07_00	120.0000	120.0000	120.0000	0.150000	0.010000	0.010000	0.0000	0.8163	0.9500	2.59000	3.42456e-07	100000.000	2.55575
foilspf2k01R07_01	75.5953	120.0000	120.0000	0.105630	0.058241	0.084716	0.9500	0.5441	0.9500	2.71000	1.77021e-07	100000.000	2.69230
foilspf2k01R05_01	53.8023	120.0000	54.0575	0.010000	0.119350	0.150000	0.0000	0.7604	0.9500	2.68000	2.46655e-07	100000.000	2.65533
foilspf2k01R06_00	50.0000	120.0000	120.0000	0.010000	0.091961	0.150000	0.6849	0.4505	0.9500	3.50000	2.83423e-07	100000.000	3.47166
