config	rOut_0	rOut_1	rOut_2	hT_0	hT_1	hT_2	f_0	f_1	f_2	zmid	sob	flash_edep	alpha	obj
foilspf01R00_08	50.0505	85.4293	81.2036	0.068775	0.057087	0.119579	0.7766	0.8837	0.2000	0.0000	3.04000	5.74286e-07	100000.000	2.98257
foilspf01R01_00	120.0000	50.0000	50.0000	0.010000	0.150000	0.099190	0.9500	0.9500	0.0000	0.0000	2.29000	7.17316e-07	100000.000	2.21827
foilspf01R01_02	120.0000	50.0000	69.4209	0.149872	0.042905	0.097349	0.8793	0.9500	0.7383	0.0000	1.12000	2.12835e-07	100000.000	1.09872
foilspf01R03_00	54.9892	85.0099	120.0000	0.122933	0.050452	0.143019	0.5521	0.4715	0.0000	0.0000	4.09000	9.68010e-07	100000.000	3.99320
foilspf01R04_00	98.2154	86.2354	118.3592	0.102048	0.033190	0.010000	0.3352	0.1332	0.3447	0.0000	3.60000	6.60902e-07	100000.000	3.53391
foilspf02R01_00	119.2837	120.0000	120.0000	0.076395	0.050842	0.010000	0.6827	0.6088	0.4974	0.0000	2.43000	1.53482e-07	100000.000	2.41465
foilspf02R03_00	87.7676	120.0000	120.0000	0.087817	0.080582	0.071603	0.6079	0.4175	0.4903	0.0000	3.69000	4.34637e-07	100000.000	3.64654
foilspf02R04_00	50.0000	92.2241	120.0000	0.014056	0.045479	0.010000	0.8467	0.4590	0.6643	0.0000	2.76000	3.04885e-07	100000.000	2.72951
foilspf02R04_01	50.0000	102.6639	120.0000	0.062889	0.029959	0.010000	0.9333	0.6128	0.6733	0.0000	1.82000	1.54113e-07	100000.000	1.80459
foilspf02R07_00	50.0000	120.0000	109.4119	0.098345	0.076536	0.010000	0.6799	0.3792	0.0000	0.0000	3.87000	6.52930e-07	100000.000	3.80471
foilspf04R05_01	79.2102	120.0000	50.0000	0.049724	0.125198	0.010000	0.5443	0.6929	0.9478	0.0000	2.75000	2.24451e-07	100000.000	2.72755
foilspfSCANA1100	120.0000	120.0000	50.0000	0.017634	0.064432	0.150000	0.4259	0.1194	0.8648	0.0000	4.16000	8.27412e-07	100000.000	4.07726
foilspfSCANB1100	50.0000	119.9996	50.0000	0.089269	0.054417	0.150000	0.0446	0.2906	0.9500	0.0000	3.99000	6.34321e-07	100000.000	3.92657
foilspfbp01R00_03	50.0000	102.1709	50.0000	0.010000	0.064308	0.150000	0.4315	0.0000	0.0000	0.0000	4.29000	1.22711e-06	100000.000	4.16729
foilspfbp01R00_08	53.0296	72.2646	52.1629	0.099834	0.061947	0.018904	0.3548	0.6322	0.6499	0.0000	2.77000	4.77822e-07	100000.000	2.72222
foilspfbp01R00_06	50.0000	116.6368	120.0000	0.010000	0.059068	0.022477	0.4069	0.7549	0.6473	0.0000	2.03000	1.54129e-07	100000.000	2.01459
foilspfbp01R00_02	119.9645	117.0833	120.0000	0.120948	0.049091	0.010000	0.3676	0.7647	0.7000	0.0000	2.35000	1.63402e-07	100000.000	2.33366
foilspfbp01R00_00	50.0000	115.7596	120.0000	0.101194	0.064299	0.010000	0.3204	0.7395	0.6647	0.0000	2.71000	3.04995e-07	100000.000	2.67950
foilspfbp01R00_04	50.0000	50.0000	71.9937	0.150000	0.066063	0.010000	0.3002	0.6920	0.6431	0.0000	2.22000	5.28800e-07	100000.000	2.16712
foilspfbp01R00_01	50.0000	111.1732	100.3973	0.046518	0.065513	0.057054	0.3435	0.5707	0.5880	0.0000	3.41000	3.50107e-07	100000.000	3.37499
foilspfbp01R00_09	91.9967	119.0671	91.1483	0.148322	0.012213	0.042727	0.0000	0.7284	0.6846	0.0000	2.97000	4.26222e-07	100000.000	2.92738
foilspfbp01R00_07	80.2264	99.5191	101.0730	0.150000	0.073203	0.010000	0.2326	0.6267	0.6718	0.0000	3.39000	4.51334e-07	100000.000	3.34487
foilspfbp01R00_05	120.0000	120.0000	120.0000	0.037689	0.051115	0.010000	0.0596	0.8152	0.6802	0.0000	2.17000	1.87841e-07	100000.000	2.15122
foilspfbp01R04_02	120.0000	104.1284	93.2000	0.089187	0.077630	0.044153	0.8244	0.6222	0.7509	0.0000	2.89000	2.40487e-07	100000.000	2.86595
foilspfbp01R01_00	50.0000	86.2858	120.0000	0.054834	0.076550	0.010000	0.0000	0.6451	0.3132	0.0000	3.42000	4.87245e-07	100000.000	3.37128
foilspfbp01R03_00	120.0000	120.0000	120.0000	0.010000	0.150000	0.010000	0.9500	0.7088	0.6708	0.0000	2.38000	1.48766e-07	100000.000	2.36512
foilspfbp01R02_00	120.0000	120.0000	120.0000	0.150000	0.150000	0.010000	0.9500	0.8526	0.9500	0.0000	1.24000	8.87448e-08	100000.000	1.23113
foilspfbp01R04_00	120.0000	120.0000	50.0000	0.060698	0.067930	0.023817	0.9500	0.7435	0.8908	0.0000	1.74000	1.28437e-07	100000.000	1.72716
foilspfbp01R02_01	58.0825	107.9912	90.6334	0.150000	0.079605	0.020854	0.0000	0.0639	0.9500	0.0000	3.95000	9.26760e-07	100000.000	3.85732
foilspfbp01R04_01	120.0000	106.0509	79.6924	0.125003	0.076575	0.093922	0.9500	0.5261	0.7574	0.0000	3.36000	3.24084e-07	100000.000	3.32759
foilspfbp01R05_00	120.0000	106.5171	82.6903	0.059445	0.088344	0.138090	0.0344	0.4299	0.3678	0.0000	4.04000	8.04998e-07	100000.000	3.95950
foilspfbp01R06_00	120.0000	100.9441	120.0000	0.043996	0.111736	0.078785	0.3386	0.6157	0.5607	0.0000	3.45000	3.23131e-07	100000.000	3.41769
foilspfbp01R07_00	120.0000	99.2729	120.0000	0.031226	0.096310	0.023849	0.7837	0.7693	0.7573	0.0000	2.23000	1.25731e-07	100000.000	2.21743
foilspfbp02R00_03	120.0000	102.4293	76.1881	0.082549	0.093495	0.010000	0.6355	0.4894	0.2195	0.0000	3.69000	5.22834e-07	100000.000	3.63772
foilspfbp02R00_02	120.0000	106.0944	97.1501	0.045628	0.100273	0.010000	0.5887	0.6682	0.3722	0.0000	3.15000	3.23778e-07	100000.000	3.11762
foilspfbp02R00_00	50.0000	100.6351	50.0000	0.077707	0.089932	0.150000	0.9500	0.2650	0.5799	0.0000	4.10000	9.22001e-07	100000.000	4.00780
foilspfbp02R00_01	89.8187	117.6449	91.5927	0.010000	0.135932	0.010000	0.8713	0.8981	0.7642	0.0000	1.44000	1.08908e-07	100000.000	1.42911
foilspfbp02R00_06	53.3178	109.9613	63.9341	0.010000	0.127805	0.099121	0.9500	0.8460	0.9500	0.0000	1.81000	1.28535e-07	100000.000	1.79715
foilspfbp02R00_09	119.5632	106.4093	68.5407	0.065652	0.094103	0.010000	0.5949	0.5798	0.3270	0.0000	3.43000	4.09393e-07	100000.000	3.38906
foilspfbp02R00_05	120.0000	98.2220	53.7294	0.070886	0.092340	0.059630	0.8908	0.2332	0.1571	0.0000	4.08000	1.05279e-06	100000.000	3.97472
foilspfbp02R00_08	50.0000	102.8571	60.1638	0.063829	0.095836	0.150000	0.9500	0.5204	0.7201	0.0000	3.69000	4.76491e-07	100000.000	3.64235
foilspfbp02R00_04	96.5711	109.6045	88.6904	0.010000	0.116635	0.010000	0.7013	0.7679	0.5351	0.0000	2.63000	1.73455e-07	100000.000	2.61265
foilspfbp02R00_07	99.8206	108.6483	119.9812	0.010000	0.116397	0.010000	0.7147	0.7738	0.6183	0.0000	2.31000	1.48314e-07	100000.000	2.29517
foilspfbp02R01_00	110.0740	120.0000	120.0000	0.088175	0.035187	0.150000	0.9500	0.9500	0.9500	0.0000	0.45300	5.57829e-08	100000.000	0.44742
foilspfbp02R02_00	50.0000	100.8896	120.0000	0.010000	0.100425	0.150000	0.8751	0.6478	0.8418	0.0000	2.87000	2.41791e-07	100000.000	2.84582
foilspfbp02R08_00	50.0000	105.2635	63.7523	0.010000	0.107068	0.145720	0.3242	0.3662	0.5428	0.0000	4.05000	7.27080e-07	100000.000	3.97729
foilspfbp02R03_00	120.0000	96.9893	120.0000	0.010000	0.061553	0.136885	0.0000	0.0000	0.9500	0.0000	4.09000	7.87270e-07	100000.000	4.01127
foilspfbp02R05_01	69.7101	118.7438	120.0000	0.010000	0.088141	0.150000	0.9500	0.7447	0.9500	0.0000	1.82000	1.04985e-07	100000.000	1.80950
foilspfbp02R05_02	114.5907	117.9738	120.0000	0.010000	0.113429	0.010000	0.4530	0.5772	0.8661	0.0000	2.96000	2.37774e-07	100000.000	2.93622
foilspfbp02R07_00	120.0000	120.0000	120.0000	0.150000	0.071732	0.010000	0.9500	0.7132	0.9500	0.0000	1.65000	1.21715e-07	100000.000	1.63783
foilspfbp02R06_00	120.0000	116.6976	120.0000	0.010000	0.107078	0.010000	0.1190	0.4356	0.9500	0.0000	3.56000	5.04827e-07	100000.000	3.50952
foilspfbp02R04_00	120.0000	108.9233	120.0000	0.150000	0.055045	0.150000	0.0000	0.6747	0.0000	0.0000	3.78000	8.82346e-07	100000.000	3.69177
foilspfbp02R05_00	50.0000	120.0000	50.0000	0.010000	0.100627	0.010000	0.0000	0.2792	0.9500	0.0000	3.92000	6.92387e-07	100000.000	3.85076
foilspfbp03R00_09	120.0000	116.8346	92.6462	0.150000	0.083820	0.150000	0.5420	0.4432	0.6221	0.0000	3.49000	5.22409e-07	100000.000	3.43776
foilspfbp03R00_02	120.0000	120.0000	86.0093	0.150000	0.042739	0.150000	0.6101	0.3601	0.4177	0.0000	3.87000	6.78542e-07	100000.000	3.80215
foilspfbp03R00_00	120.0000	110.6908	120.0000	0.010000	0.085171	0.150000	0.7435	0.8775	0.9280	0.0000	1.21000	6.62583e-08	100000.000	1.20337
foilspfbp03R00_03	120.0000	103.1915	103.2474	0.010000	0.111286	0.150000	0.5959	0.8244	0.9070	0.0000	2.03000	1.21540e-07	100000.000	2.01785
foilspfbp03R00_01	120.0000	110.6145	74.5356	0.010000	0.143218	0.150000	0.6719	0.6669	0.8069	0.0000	3.12000	3.09548e-07	100000.000	3.08905
foilspfbp03R00_08	102.6641	119.2858	94.8411	0.150000	0.021324	0.150000	0.8246	0.4602	0.5087	0.0000	3.47000	3.96565e-07	100000.000	3.43034
foilspfbp03R00_06	120.0000	79.2439	120.0000	0.010000	0.150000	0.149620	0.4684	0.9500	0.9500	0.0000	1.86000	1.04984e-07	100000.000	1.84950
foilspfbp03R00_04	50.0000	115.1097	82.8988	0.150000	0.057335	0.150000	0.4074	0.3042	0.2495	0.0000	4.15000	9.47697e-07	100000.000	4.05523
foilspfbp03R00_05	120.0000	120.0000	120.0000	0.010000	0.069171	0.150000	0.8535	0.9064	0.9321	0.0000	0.78100	8.88390e-08	100000.000	0.77212
foilspfbp03R00_07	120.0000	119.9815	112.4165	0.010000	0.081171	0.150000	0.8232	0.7869	0.8567	0.0000	1.73000	1.09583e-07	100000.000	1.71904
foilspfbp03R01_00	50.0000	116.1459	60.1903	0.010000	0.019191	0.133201	0.0000	0.0385	0.7161	0.0000	3.60000	6.17024e-07	100000.000	3.53830
foilspfbp03R03_00	50.0000	111.2761	120.0000	0.010000	0.055477	0.098943	0.0000	0.1705	0.1938	0.0000	4.30000	8.36538e-07	100000.000	4.21635
foilspfbp03R02_00	50.0000	120.0000	50.0000	0.010000	0.150000	0.010000	0.9500	0.4563	0.4462	0.0000	3.68000	6.61591e-07	100000.000	3.61384
foilspfbp03R05_00	50.0000	113.9987	50.0000	0.010000	0.132966	0.010000	0.9500	0.6345	0.5139	0.0000	3.28000	3.68112e-07	100000.000	3.24319
foilspfbp03R04_01	120.0000	120.0000	120.0000	0.010000	0.073982	0.129862	0.9320	0.6832	0.7737	0.0000	2.26000	1.28323e-07	100000.000	2.24717
foilspfbp03R04_00	120.0000	120.0000	120.0000	0.010000	0.041988	0.150000	0.9500	0.5544	0.6336	0.0000	2.91000	2.37433e-07	100000.000	2.88626
