config	bore_0	bore_1	bore_2	w_0	w_1	w_2	hT_0	hT_1	hT_2	sob	flash_edep	alpha	obj
foilspfbw01R00_00	89.7762	9.3930	74.0681	30.9716	36.4161	12.8120	0.073741	0.114888	0.040950	3.41000	8.46391e-07	100000.000	3.32536
foilspfbw01R00_05	74.2397	55.5729	33.4245	33.4591	20.5471	47.5634	0.022115	0.088122	0.048053	3.13000	4.91224e-07	100000.000	3.08088
foilspfbw01R00_02	21.2677	72.6277	15.0429	48.3922	40.1742	56.6284	0.085275	0.065834	0.060587	3.63000	5.10247e-07	100000.000	3.57898
foilspfbw01R00_03	26.0752	58.8210	21.1290	28.7985	26.1319	59.6087	0.058783	0.012475	0.054573	2.22000	3.94278e-07	100000.000	2.18057
foilspfbw01R00_01	55.5929	72.9085	19.1062	11.9218	54.0912	42.5315	0.103322	0.124930	0.093521	3.59000	5.99690e-07	100000.000	3.53003
foilspfbw01R00_06	57.0853	67.9920	81.7856	12.0444	14.7382	18.7273	0.072936	0.017207	0.041094	1.11000	1.20312e-07	100000.000	1.09797
foilspfbw01R00_04	38.5392	34.4519	15.2789	14.3274	30.4208	27.9185	0.075835	0.078183	0.045401	2.90000	6.99275e-07	100000.000	2.83007
foilspfbw01R00_09	45.5519	40.1189	37.7842	26.8167	49.1354	50.8712	0.140224	0.039481	0.149678	3.79000	6.37671e-07	100000.000	3.72623
foilspfbw01R00_08	34.6024	32.7285	27.4471	20.5819	19.4022	30.6824	0.092488	0.094182	0.010101	2.40000	5.42638e-07	100000.000	2.34574
foilspfbw01R00_07	22.4370	37.8290	47.1215	14.5930	27.6226	27.6917	0.073345	0.087063	0.060352	3.05000	5.75082e-07	100000.000	2.99249
foilspfbw01R03_01	90.0000	58.4205	0.0000	10.0000	10.0000	60.0000	0.096580	0.010000	0.012034	0.90800	1.98682e-07	100000.000	0.88813
foilspfbw01R01_00	37.9428	75.0368	54.8762	58.2465	43.3098	50.7723	0.056825	0.130255	0.012875	3.15000	2.80983e-07	100000.000	3.12190
foilspfbw01R02_00	6.2834	21.1511	39.0615	33.8546	27.9375	19.2283	0.133113	0.055119	0.111970	2.62000	7.28254e-07	100000.000	2.54717
foilspfbw01R04_03	61.8720	76.9169	90.0000	16.6634	39.4772	16.8641	0.150000	0.010000	0.010550	1.79000	1.21012e-07	100000.000	1.77790
foilspfbw01R03_00	26.4183	50.7530	13.0088	50.9813	14.5473	60.0000	0.039779	0.036820	0.060291	2.52000	5.11241e-07	100000.000	2.46888
foilspfbw01R04_02	78.5616	90.0000	90.0000	42.6262	45.7822	60.0000	0.079051	0.076887	0.141762	2.20000	1.45991e-07	100000.000	2.18540
foilspfbw01R04_04	0.0000	90.0000	0.0000	44.7274	60.0000	51.5514	0.148332	0.042301	0.104560	3.46000	6.54433e-07	100000.000	3.39456
foilspfbw01R04_00	55.6134	90.0000	90.0000	36.1980	36.3679	30.2041	0.062207	0.056538	0.098801	2.26000	1.62462e-07	100000.000	2.24375
foilspfbw01R04_01	65.5059	81.7044	90.0000	42.2262	10.0000	17.0060	0.010000	0.074497	0.012511	1.49000	1.03275e-07	100000.000	1.47967
foilspfbw01R05_00	48.2427	82.4744	90.0000	22.3697	13.3732	18.9941	0.098154	0.026363	0.150000	1.75000	1.40256e-07	100000.000	1.73597
