config	thickness	halfLength	OutRadius0	OutRadius1	distFromTargetEnd	sob	trk_edep	alpha	obj
ipa04R00_00	2.9928	252.1832	373.4468	312.9148	611.3288	2.47000	3.53933e-02	80.000	-0.36146
ipa04R00_01	0.2631	427.6461	362.3805	283.1611	647.0793	3.25000	4.05854e-02	80.000	0.00316
ipa04R00_02	2.4493	306.1453	255.7654	382.2736	660.2519	2.61000	2.69752e-02	80.000	0.45198
ipa04R00_03	2.0331	610.4658	339.4868	285.4461	722.7897	2.45000	1.11911e-02	80.000	1.55471
ipa04R00_04	0.5847	583.9225	340.5225	389.8851	615.0728	3.03000	1.88428e-02	80.000	1.52258
ipa04R01_01	0.1924	456.3754	352.0600	392.5529	598.3262	3.25000	4.55104e-02	80.000	-0.39083
ipa04R01_02	0.6982	686.0392	323.9899	400.0000	535.0298	2.91000	1.60688e-02	80.000	1.62449
ipa04R01_03	0.7885	588.3379	345.3609	400.0000	749.5519	2.89000	1.78274e-02	80.000	1.46381
ipa04R01_00	0.6321	627.9763	345.2641	334.3084	656.5156	3.01000	1.67245e-02	80.000	1.67204
ipa04R01_04	0.9179	609.1244	377.6453	372.8143	590.0136	2.76000	1.63195e-02	80.000	1.45444
ipa05R00_00	0.1000	614.4138	348.3097	353.3540	620.5986	3.27000	5.33034e-02	80.000	-0.99427
ipa05R00_01	1.0617	648.7553	323.9659	353.4128	663.1788	2.77000	1.07457e-02	80.000	1.91034
ipa05R00_02	0.2562	608.0729	343.4019	259.4252	658.9117	3.24000	3.21535e-02	80.000	0.66772
ipa05R00_03	0.1155	673.4123	355.0633	400.0000	647.2465	3.27000	4.43596e-02	80.000	-0.27877
ipa05R00_04	0.1392	244.1368	351.6159	337.8637	623.3038	3.28000	6.05087e-02	80.000	-1.56070
ipa05R01_00	0.6829	568.6302	296.3111	292.8546	666.7586	3.07000	1.72042e-02	80.000	1.69366
ipa05R01_01	0.2897	473.5363	310.2358	250.0000	722.8232	3.25000	3.79840e-02	80.000	0.21128
ipa05R01_02	0.8682	700.0000	314.4922	336.6554	637.5049	2.89000	1.44047e-02	80.000	1.73762
ipa05R01_03	0.1000	700.0000	376.1571	250.0000	771.0515	3.28000	5.11366e-02	80.000	-0.81093
ipa05R01_04	1.1079	647.0543	326.5353	278.9173	674.3024	2.82000	1.30281e-02	80.000	1.77775
ipa06R00_00	1.0432	522.0363	313.4901	336.9354	634.4114	2.89000	1.47543e-02	80.000	1.70966
ipa06R00_01	0.4806	572.9633	318.8731	276.3171	670.3421	3.13000	2.29663e-02	80.000	1.29270
ipa06R00_02	0.1000	559.3075	264.1787	400.0000	713.8172	3.28000	5.26739e-02	80.000	-0.93391
ipa06R00_03	1.3836	597.1870	320.3676	340.4533	692.5969	2.70000	1.16666e-02	80.000	1.76667
ipa06R00_04	0.8038	551.2334	315.1915	319.2792	651.2807	2.98000	1.49240e-02	80.000	1.78608
ipa06R01_00	0.1000	523.9659	349.1943	250.0000	710.4243	3.29000	5.41783e-02	80.000	-1.04426
ipa06R01_01	1.0317	619.7711	290.1439	345.8798	664.1373	2.85000	1.38673e-02	80.000	1.74061
ipa06R01_02	0.4435	537.2694	250.0000	250.0000	556.7403	3.17000	2.78725e-02	80.000	0.94020
ipa06R01_03	0.1000	200.0000	250.0000	287.1883	800.0000	3.31000	6.79990e-02	80.000	-2.12992
ipa06R01_04	0.8882	596.3221	250.0000	335.1045	692.4128	2.95000	1.55755e-02	80.000	1.70396
ipa07R00_00	1.2576	700.0000	338.8557	332.7808	744.3578	2.67000	9.24059e-03	80.000	1.93075
ipa07R00_01	0.5563	232.3197	264.5600	250.0000	624.2722	3.22000	4.70972e-02	80.000	-0.54778
