config	r0	r1	r2	t0	t1	t2	l0	l1	l2	N	mu_per_POT	edep_per_POT_MeV	peak_dose_Gy_per_POT	peak_plate_idx	obj
pt001	3.8683	3.3492	3.4669	7.8263	6.0352	4.3800	8.3263	6.5352	4.8800	33	2.161111e-03	4.218985e+02	1.526700e-09	24	2.161111e-03
pt002	3.8683	3.3492	3.4669	7.8263	6.0352	4.3800	8.3263	6.5352	4.8800	33	2.173913e-03	4.216728e+02	1.520510e-09	24	2.173913e-03
ptX01R00_00	2.0000	4.5416	4.5000	3.0000	8.0832	8.0000	4.5562	12.1239	12.0000	30	1.980000e-03	4.116224e+02	8.026597e-10	0	1.980000e-03
ptX01R00_01	4.5000	2.0000	2.0000	3.0000	3.0000	8.0000	12.0000	11.7088	11.2950	27	1.269565e-03	1.790325e+02	3.991139e-09	22	1.269565e-03
ptX02R00_02	4.0373	2.6888	2.6100	8.0000	5.5851	5.5562	8.6525	7.3232	6.0562	32	2.160000e-03	3.698971e+02	2.503050e-09	26	2.160000e-03
ptX02R00_01	3.8279	3.6931	3.9479	8.0000	5.4912	3.0102	8.8603	5.9912	6.9365	31	2.060000e-03	3.852546e+02	1.214337e-09	20	2.060000e-03
ptX02R00_00	3.7341	3.6545	3.8518	6.0398	6.9744	4.4891	7.4679	7.4744	5.3199	35	2.231111e-03	4.580979e+02	1.250612e-09	27	2.231111e-03
ptX02R00_03	4.0410	3.5740	4.1718	8.0000	4.3648	4.3590	10.2095	7.9884	4.8590	30	1.815556e-03	3.150525e+02	1.155832e-09	22	1.815556e-03
ptX02R01_02	3.9832	3.7325	2.0000	8.0000	5.2470	6.9230	8.5269	6.8184	7.4230	32	2.109890e-03	3.978554e+02	3.264185e-09	31	2.109890e-03
ptX02R01_00	3.7774	3.4591	4.0344	7.1449	7.2091	6.2353	7.6449	7.7091	6.7353	35	2.168889e-03	4.777439e+02	1.256993e-09	27	2.168889e-03
ptX02R01_03	3.8856	2.7719	3.2703	6.5319	6.7189	6.3379	7.7671	7.9901	6.8379	34	2.255556e-03	4.125056e+02	1.904367e-09	26	2.255556e-03
ptX05R00_03	3.7931	3.1103	2.9457	5.1806	6.7892	4.3519	6.1806	7.3020	5.3519	34	2.178022e-03	4.091559e+02	1.877304e-09	29	2.178022e-03
ptX05R00_00	3.7887	3.0741	3.3968	6.6472	6.7277	3.4906	7.6172	7.2277	4.4906	34	2.291111e-03	4.169877e+02	1.672121e-09	25	2.291111e-03
ptX05R00_04	2.5178	4.3838	4.4918	3.7868	7.8471	7.6200	4.7868	8.8471	8.6200	31	2.108889e-03	4.720618e+02	8.692282e-10	28	2.108889e-03
ptX05R00_01	3.8537	3.4082	2.2729	6.2449	6.6722	6.5851	7.2449	7.4920	7.0851	34	2.162637e-03	4.338903e+02	2.699094e-09	32	2.162637e-03
